club,unique_legacy_tables,unique_gridiron_tables,total_query_score,avg_query_score,most_used_legacy_table,most_used_gridiron_table
Starlord,5,0,40.00,3.08,pmart_live_events,
Ego,3,2,74.00,3.22,ticketing_fan_transaction,fan_individual_profile
Kraglin,8,5,143.00,2.38,media_data_content,ticketing_single_game_propensity_score_legacy
Mainframe,4,2,17.00,1.70,club_kagr_tket_cust_raw,fan_league_email_detail
Rocket,6,6,897.00,3.93,ticketing_fan_transaction,fan_ticket_transaction_details
Moondragon,12,11,637.00,3.39,livea_demographic_cust,uvof
Adam,2,6,97.00,1.73,pmart_fantasy,fan_gaming_details
Korath,0,2,4.00,2.00,,tlv_livea_fan_behavioral_profile
Nebula,4,12,3961.00,11.45,pmart_tcs_purchases,fan_merchandise_transaction_detail
Floor,0,7,4.00,0.16,,fan_communication_channel_profile
Warlock,4,6,185.00,2.94,fan_unified_view,uvof
Ayesha,3,9,249.00,2.96,scores_sgl_engagement,fan_uvof_plus
Pip,10,18,1643.00,4.25,fan_unified_view,uvof
Taserface,3,8,185.00,4.40,pmart_db_prof_cust_data,fan_individual_profile
Yondu,0,1,1.00,0.25,,fan_uvof_plus
Charlie,6,4,1178.00,6.30,fan_unified_view,b2b
Teefs,1,12,79.00,1.55,livea_demographic_cust,fan_communication_channel_profile
Lylla,1,5,761.00,17.70,pmart_tcs_purchases,uvof
Nova,0,4,896.00,12.62,,fan_uvof_plus
Phyla,5,2,22.00,0.88,fan_id_mapping,tlv_livea_fan_behavioral_details
Stakar,0,4,16.00,2.67,,fan_interactions
Aleta,0,1,3.00,0.50,,fan_surveycontest_detail
Drax,0,2,36.00,9.00,,fan_communication_channel_profile
Ronan,1,10,562.00,8.78,pmart_tcs_purchases,fan_merchandise_transaction_detail
Howard,13,13,334.00,2.14,media_data_summary,fan_merchandise_transaction_detail
Martinex,0,1,1.00,1.00,,fan_uvof_plus
Cosmo,4,0,60.00,6.00,ticketing_fan_transaction,
