table_name,data_environment,unique_clubs_using,total_query_appearances
uvof,gridiron,14,301
fan_unified_view,legacy,10,259
fan_merchandise_transaction_detail,gridiron,5,227
fan_uvof_plus,gridiron,15,222
fan_communication_channel_profile,gridiron,11,170
ticketing_fan_transaction,legacy,5,167
livea_demographic_cust,legacy,7,135
fan_ticket_transaction_details,gridiron,6,129
fan_individual_profile,gridiron,10,127
tlv_livea_fan_behavioral_profile,gridiron,12,109
pmart_tcs_purchases,legacy,4,92
fan_address_details,gridiron,7,87
ticketing_single_game_propensity_score_legacy,gridiron,6,82
demographics,gridiron,12,74
b2b,gridiron,8,71
scores_sgl_engagement,legacy,8,42
pmart_demographic,legacy,6,40
fan_id_mapping,legacy,6,39
mapping,gridiron,3,38
atdata_email_validation,legacy,3,36
tlv_livea_fan_behavioral_details,gridiron,10,35
scores_sth_new_engagement,legacy,3,35
fan_interactions,gridiron,7,32
fan_source_profile,gridiron,6,28
fan_gaming_details,gridiron,2,27
media_data_content,legacy,3,25
fan_distance_from_club_stadium,gridiron,1,22
pmart_fantasy,legacy,4,19
pmart_db_prof_cust_data,legacy,4,17
fan_club_share_status,gridiron,3,14
media_data_summary,legacy,3,14
pmart_dist_from_stad,legacy,1,14
pmart_profile_summary,legacy,4,11
fan_league_email_detail,gridiron,4,7
fan_uvof,gridiron,4,7
scores_sth_attrition,legacy,3,7
pmart_account,legacy,2,7
pmart_live_events,legacy,1,6
pmart_prtr_madden_cust,legacy,1,6
pmart_customer,legacy,2,4
pmart_kagr_cust,legacy,2,4
fan_change_log,gridiron,3,4
ticketing_fan_golden,legacy,2,4
single_game_propensity_score_legacy,gridiron,1,3
ticketing_fan_child,legacy,2,3
fan_surveycontest_detail,gridiron,1,3
club_kagr_tket_cust_raw,legacy,1,2
pmart_kagr_trans,legacy,1,2
media_data_snapshot,legacy,1,2
pmart_prtr_madden_engage,legacy,1,2
home_marketing_area_details,gridiron,1,1
tlv_livea_behavioral_details,gridiron,1,1
uvof_final_dataiku,legacy,1,1
pmart_mini_games,legacy,1,1
nfl_jebbit_new_fan_engagement,legacy,1,1
ext_fcm_analytics_ltv,legacy,1,1
pmart_zi_prof_cust_data,legacy,1,1
